eternam: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.7805, pretrained-bert-20: 0.7695
omnibus: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9556, pretrained-bert-20: 0.9632
fuerit: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9980, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9441, pretrained-bert-20: 0.9636
ut: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9510, pretrained-bert-20: 0.9636
libertatem: pretrained-bert-rand1: 0.9974, pretrained-bert-rand2: 0.9977, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9464, pretrained-bert-20: 0.9641
acras: pretrained-bert-rand1: 0.9954, pretrained-bert-rand2: 0.9967, pretrained-bert-rand3: 0.9987, finetuned-bert: 0.9732, pretrained-bert-20: 0.9642
regum: pretrained-bert-rand1: 0.9952, pretrained-bert-rand2: 0.9967, pretrained-bert-rand3: 0.9954, finetuned-bert: 0.9502, pretrained-bert-20: 0.9642
hanc: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9562, pretrained-bert-20: 0.9644
alia: pretrained-bert-rand1: 0.9974, pretrained-bert-rand2: 0.9975, pretrained-bert-rand3: 0.9974, finetuned-bert: 0.9615, pretrained-bert-20: 0.9645
episcoporum: pretrained-bert-rand1: 0.9966, pretrained-bert-rand2: 0.9960, pretrained-bert-rand3: 0.9959, finetuned-bert: 0.9542, pretrained-bert-20: 0.9646
quia: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.9526, pretrained-bert-20: 0.9647
neque: pretrained-bert-rand1: 0.9966, pretrained-bert-rand2: 0.9953, pretrained-bert-rand3: 0.9866, finetuned-bert: 0.9711, pretrained-bert-20: 0.9647
ibidem: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9526, pretrained-bert-20: 0.9649
extra: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9512, pretrained-bert-20: 0.9651
necnon: pretrained-bert-rand1: 0.9959, pretrained-bert-rand2: 0.9971, pretrained-bert-rand3: 0.9978, finetuned-bert: 0.9572, pretrained-bert-20: 0.9652
tam: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9995, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9617, pretrained-bert-20: 0.9653
sicut: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9604, pretrained-bert-20: 0.9656
pro: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9999, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9468, pretrained-bert-20: 0.9657
nisi: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9360, pretrained-bert-20: 0.9660
postea: pretrained-bert-rand1: 0.9956, pretrained-bert-rand2: 0.9961, pretrained-bert-rand3: 0.9962, finetuned-bert: 0.9592, pretrained-bert-20: 0.9661
eum: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.9538, pretrained-bert-20: 0.9661
ex: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9987, finetuned-bert: 0.9283, pretrained-bert-20: 0.9661
set: pretrained-bert-rand1: 0.9904, pretrained-bert-rand2: 0.9947, pretrained-bert-rand3: 0.9951, finetuned-bert: 0.9381, pretrained-bert-20: 0.9662
ac: pretrained-bert-rand1: 0.9990, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9539, pretrained-bert-20: 0.9664
eo: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9502, pretrained-bert-20: 0.9664
confirmo: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9966, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9568, pretrained-bert-20: 0.9665
iuxta: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9977, pretrained-bert-rand3: 0.9965, finetuned-bert: 0.9545, pretrained-bert-20: 0.9666
ipsa: pretrained-bert-rand1: 0.9978, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9973, finetuned-bert: 0.9552, pretrained-bert-20: 0.9667
eis: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9572, pretrained-bert-20: 0.9667
si: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9318, pretrained-bert-20: 0.9669
pertinentibus: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9519, pretrained-bert-20: 0.9672
eius: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9401, pretrained-bert-20: 0.9674
uero: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9469, pretrained-bert-20: 0.9675
eodem: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9983, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9510, pretrained-bert-20: 0.9675
itaque: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9981, pretrained-bert-rand3: 0.9974, finetuned-bert: 0.9510, pretrained-bert-20: 0.9677
monasterium: pretrained-bert-rand1: 0.9949, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9970, finetuned-bert: 0.9540, pretrained-bert-20: 0.9678
hoc: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9409, pretrained-bert-20: 0.9679
est: pretrained-bert-rand1: 0.9999, pretrained-bert-rand2: 0.9999, pretrained-bert-rand3: 0.9999, finetuned-bert: 0.9381, pretrained-bert-20: 0.9680
que: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9999, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9587, pretrained-bert-20: 0.9682
monasterii: pretrained-bert-rand1: 0.9960, pretrained-bert-rand2: 0.9974, pretrained-bert-rand3: 0.9961, finetuned-bert: 0.9585, pretrained-bert-20: 0.9684
sibi: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.9453, pretrained-bert-20: 0.9684
ei: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9451, pretrained-bert-20: 0.9688
erat: pretrained-bert-rand1: 0.9953, pretrained-bert-rand2: 0.9970, pretrained-bert-rand3: 0.9959, finetuned-bert: 0.9512, pretrained-bert-20: 0.9688
qua: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9410, pretrained-bert-20: 0.9689
non: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9995, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9416, pretrained-bert-20: 0.9694
siue: pretrained-bert-rand1: 0.9983, pretrained-bert-rand2: 0.9983, pretrained-bert-rand3: 0.9970, finetuned-bert: 0.9726, pretrained-bert-20: 0.9694
dicitur: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9638, pretrained-bert-20: 0.9696
se: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.8975, pretrained-bert-20: 0.9698
omnium: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9583, pretrained-bert-20: 0.9703
uel: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9539, pretrained-bert-20: 0.9704
honorem: pretrained-bert-rand1: 0.9940, pretrained-bert-rand2: 0.9964, pretrained-bert-rand3: 0.9963, finetuned-bert: 0.9678, pretrained-bert-20: 0.9705
quod: pretrained-bert-rand1: 0.9999, pretrained-bert-rand2: 0.9999, pretrained-bert-rand3: 0.9999, finetuned-bert: 0.9469, pretrained-bert-20: 0.9705
aut: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9984, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9592, pretrained-bert-20: 0.9706
quam: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9581, pretrained-bert-20: 0.9706
monasterio: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9956, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9624, pretrained-bert-20: 0.9713
cum: pretrained-bert-rand1: 0.9999, pretrained-bert-rand2: 0.9998, pretrained-bert-rand3: 0.9999, finetuned-bert: 0.9381, pretrained-bert-20: 0.9718
super: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9995, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9640, pretrained-bert-20: 0.9720
quoque: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.9561, pretrained-bert-20: 0.9725
ergo: pretrained-bert-rand1: 0.9935, pretrained-bert-rand2: 0.9963, pretrained-bert-rand3: 0.9955, finetuned-bert: 0.9674, pretrained-bert-20: 0.9726
hidas: pretrained-bert-rand1: 0.9895, pretrained-bert-rand2: 0.9947, pretrained-bert-rand3: 0.9922, finetuned-bert: 0.9580, pretrained-bert-20: 0.9727
aqua: pretrained-bert-rand1: 0.9807, pretrained-bert-rand2: 0.9917, pretrained-bert-rand3: 0.9959, finetuned-bert: 0.9696, pretrained-bert-20: 0.9728
ad: pretrained-bert-rand1: 0.9999, pretrained-bert-rand2: 0.9999, pretrained-bert-rand3: 0.9999, finetuned-bert: 0.9677, pretrained-bert-20: 0.9729
sic: pretrained-bert-rand1: 0.9944, pretrained-bert-rand2: 0.9962, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.9614, pretrained-bert-20: 0.9730
sunt: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9602, pretrained-bert-20: 0.9732
signum: pretrained-bert-rand1: 0.9964, pretrained-bert-rand2: 0.9977, pretrained-bert-rand3: 0.9952, finetuned-bert: 0.9467, pretrained-bert-20: 0.9734
sed: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9584, pretrained-bert-20: 0.9738
ab: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9998, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9697, pretrained-bert-20: 0.9742
usque: pretrained-bert-rand1: 0.9979, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9674, pretrained-bert-20: 0.9750
etiam: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9553, pretrained-bert-20: 0.9754
locum: pretrained-bert-rand1: 0.9959, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9944, finetuned-bert: 0.9626, pretrained-bert-20: 0.9755
qui: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9570, pretrained-bert-20: 0.9755
de: pretrained-bert-rand1: 1.0000, pretrained-bert-rand2: 0.9999, pretrained-bert-rand3: 1.0000, finetuned-bert: 0.9426, pretrained-bert-20: 0.9757
a: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9995, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9613, pretrained-bert-20: 0.9773
per: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9999, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9573, pretrained-bert-20: 0.9779
atque: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9638, pretrained-bert-20: 0.9780
in: pretrained-bert-rand1: 1.0000, pretrained-bert-rand2: 1.0000, pretrained-bert-rand3: 1.0000, finetuned-bert: 0.9582, pretrained-bert-20: 0.9819
et: pretrained-bert-rand1: 1.0000, pretrained-bert-rand2: 1.0000, pretrained-bert-rand3: 1.0000, finetuned-bert: 0.9434, pretrained-bert-20: 0.9922
